               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057845,            0.022283,                   0,             0.57752,              0.5673,             0.53752,             0.23573,            0.033457,           0.0070397,                   0,            0.070051,           0.0033277,           0.0033277
                   1,            0.039407,            0.018489,                   0,             0.64682,             0.68041,             0.66661,             0.29171,            0.030784,           0.0065516,                   0,            0.039886,           0.0064962,           0.0064962
                   2,            0.037023,            0.018136,                   0,             0.55072,              0.5673,             0.52942,             0.16837,            0.037363,           0.0070884,                   0,           0.0095561,           0.0094996,           0.0094996
                   3,            0.038397,            0.018481,                   0,             0.67168,             0.67631,             0.68079,             0.29512,            0.031868,           0.0066729,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.035821,            0.018018,                   0,             0.63322,             0.65962,             0.64469,             0.27116,            0.031099,           0.0067815,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.033853,            0.017835,                   0,             0.67804,             0.74305,             0.73895,             0.35607,            0.027437,           0.0063369,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.032555,            0.017522,                   0,             0.69836,             0.74171,             0.73187,             0.35008,            0.027424,           0.0062863,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.031865,            0.017268,                   0,              0.6964,             0.73415,             0.74671,             0.35475,            0.027691,           0.0064525,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.031754,               0.017,                   0,             0.71434,             0.78977,              0.7719,             0.37787,            0.025408,           0.0063608,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.030237,            0.016731,                   0,             0.73622,             0.80645,             0.79153,             0.38468,            0.026566,           0.0060357,                   0,             0.00802,             0.00802,             0.00802
